Airline,Source,Destination,Total_Stops,Price,Price_USD,Duration_min,Journey_day,Journey_month,Dep_hour,Dep_min,Arr_hour,Arr_min
Air India,Delhi,Cochin,2,12436,149.232,1820,12,6,12,55,19,15
IndiGo,Banglore,Delhi,0,4823,57.876,175,21,6,7,10,10,5
IndiGo,Mumbai,Hyderabad,0,2227,26.724,90,3,6,21,20,22,50
Jet Airways,Delhi,Cochin,1,10262,123.144,940,1,6,20,55,12,35
Jet Airways,Delhi,Cochin,1,17024,204.288,1225,3,3,8,0,4,25
Jet Airways,Delhi,Cochin,2,9296,111.552,1325,27,3,6,20,4,25
Air India,Delhi,Cochin,0,6094,73.128,185,6,6,18,5,21,10
Jet Airways,Kolkata,Banglore,1,8586,103.032,1215,9,6,8,25,4,40
Jet Airways,Delhi,Cochin,2,10919,131.028,1300,15,6,6,45,4,25
GoAir,Kolkata,Banglore,1,9495,113.94,455,9,6,16,40,0,15
Jet Airways,Delhi,Cochin,1,14714,176.568,395,12,6,21,50,4,25
Air India,Delhi,Cochin,0,5201,62.412,180,24,6,14,10,17,10
Air India,Delhi,Cochin,2,7090,85.08,1420,27,3,9,45,9,25
IndiGo,Mumbai,Hyderabad,0,4575,54.9,90,15,5,9,10,10,40
Multiple carriers,Delhi,Cochin,1,9646,115.752,545,15,5,7,5,16,10
IndiGo,Delhi,Cochin,1,5636,67.632,325,12,6,2,0,7,25
Multiple carriers,Delhi,Cochin,1,9646,115.752,545,15,6,7,5,16,10
Jet Airways,Mumbai,Hyderabad,0,4050,48.6,90,9,3,19,40,21,10
Jet Airways,Delhi,Cochin,1,14714,176.568,1270,9,6,21,50,19,0
IndiGo,Kolkata,Banglore,0,4804,57.648,150,18,6,15,15,17,45
Jet Airways,Delhi,Cochin,1,10577,126.924,1485,9,6,18,15,19,0
GoAir,Banglore,Delhi,0,3898,46.776,165,15,6,20,55,23,40
Jet Airways,Kolkata,Banglore,1,14571,174.852,960,6,6,20,0,12,0
Jet Airways,Delhi,Cochin,2,10919,131.028,1300,15,6,6,45,4,25
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,165,18,6,6,0,8,45
IndiGo,Delhi,Cochin,1,6287,75.444,425,21,3,4,55,12,0
Air India,Kolkata,Banglore,1,8366,100.392,905,6,6,16,50,7,55
Jet Airways,Delhi,Cochin,1,15400,184.8,440,6,3,11,30,18,50
Vistara,Banglore,New Delhi,0,8553,102.636,160,3,3,19,40,22,20
SpiceJet,Kolkata,Banglore,0,3841,46.092,155,9,4,6,55,9,30
Air India,Delhi,Cochin,2,10021,120.25200000000001,1545,9,4,5,55,7,40
SpiceJet,Chennai,Kolkata,0,3597,43.164,140,24,6,17,45,20,5
IndiGo,Chennai,Kolkata,0,4332,51.984,145,24,5,11,35,14,0
GoAir,Banglore,Delhi,0,3898,46.776,165,21,6,20,55,23,40
Jet Airways,Mumbai,Hyderabad,2,21375,256.5,1665,6,3,13,5,16,50
Vistara,Kolkata,Banglore,1,8610,103.32000000000001,975,6,6,7,10,23,25
IndiGo,Kolkata,Banglore,0,4804,57.648,155,15,6,17,15,19,50
Air India,Delhi,Cochin,2,13591,163.092,1730,1,6,14,25,19,15
Jet Airways,Kolkata,Banglore,1,14781,177.372,590,6,5,6,30,16,20
Jet Airways,Banglore,New Delhi,1,9134,109.608,315,15,3,8,0,13,15
Air India,Delhi,Cochin,2,10493,125.916,1545,9,6,5,55,7,40
Jet Airways,Banglore,New Delhi,1,8147,97.764,1280,24,3,11,40,9,0
SpiceJet,Kolkata,Banglore,0,3873,46.476,140,21,6,22,20,0,40
Jet Airways,Kolkata,Banglore,1,14571,174.852,1025,9,6,18,55,12,0
Air India,Banglore,New Delhi,2,11003,132.036,655,3,3,10,30,21,25
Jet Airways,Delhi,Cochin,1,10262,123.144,550,3,6,19,15,4,25
Jet Airways,Delhi,Cochin,1,12719,152.62800000000001,995,21,3,2,15,18,50
Jet Airways,Delhi,Cochin,1,10262,123.144,1325,24,6,20,55,19,0
Air India,Banglore,Delhi,0,7171,86.052,165,21,6,17,0,19,45
SpiceJet,Banglore,Delhi,0,4423,53.076,160,27,4,5,55,8,35
Multiple carriers,Delhi,Cochin,1,12616,151.392,490,9,3,17,25,1,35
Air India,Delhi,Cochin,2,12970,155.64000000000001,1560,1,6,17,15,19,15
Jet Airways,Kolkata,Banglore,1,14914,178.96800000000002,775,24,3,21,10,10,5
Jet Airways,Mumbai,Hyderabad,0,3210,38.52,85,6,5,2,55,4,20
GoAir,Banglore,Delhi,0,4632,55.584,175,21,4,7,45,10,40
Jet Airways,Delhi,Cochin,1,12373,148.476,655,9,5,17,30,4,25
IndiGo,Kolkata,Banglore,0,4804,57.648,150,15,6,14,25,16,55
Multiple carriers,Delhi,Cochin,3,21829,261.948,565,3,3,11,35,21,0
Multiple carriers,Delhi,Cochin,1,13587,163.044,780,1,6,8,0,21,0
Jet Airways,Delhi,Cochin,2,12819,153.828,1760,27,6,23,5,4,25
Air Asia,Delhi,Cochin,1,6151,73.812,660,27,3,20,10,7,10
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,175,1,6,15,15,18,10
Multiple carriers,Delhi,Cochin,1,15135,181.62,680,6,3,7,30,18,50
IndiGo,Delhi,Cochin,1,6794,81.528,500,21,5,17,10,1,30
Vistara,Kolkata,Banglore,1,8610,103.32000000000001,1640,15,5,17,0,20,20
Air India,Kolkata,Banglore,2,12723,152.67600000000002,1840,18,5,5,50,12,30
Air India,Kolkata,Banglore,1,7662,91.944,1515,6,6,12,0,13,15
Multiple carriers,Delhi,Cochin,1,14343,172.116,515,9,3,17,0,1,35
Multiple carriers,Delhi,Cochin,1,6795,81.54,910,1,6,10,20,1,30
SpiceJet,Kolkata,Banglore,0,3873,46.476,140,9,5,22,20,0,40
IndiGo,Mumbai,Hyderabad,0,2754,33.048,90,12,6,19,5,20,35
Air India,Mumbai,Hyderabad,1,16666,199.992,905,6,3,6,10,21,15
Multiple carriers,Delhi,Cochin,1,11098,133.17600000000002,460,1,6,4,55,12,35
Jet Airways,Kolkata,Banglore,1,10539,126.468,1745,9,6,17,0,22,5
Air India,Delhi,Cochin,1,9929,119.148,735,27,5,7,0,19,15
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1430,12,5,16,30,16,20
Jet Airways,Kolkata,Banglore,1,12692,152.304,1730,6,6,9,35,14,25
Jet Airways,Delhi,Cochin,1,9212,110.544,455,21,3,20,50,4,25
Multiple carriers,Delhi,Cochin,1,13727,164.724,630,15,5,15,0,1,30
Air Asia,Banglore,Delhi,0,4282,51.384,170,15,6,4,55,7,45
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1285,24,5,18,55,16,20
Air India,Delhi,Cochin,1,7480,89.76,965,27,6,17,20,9,25
IndiGo,Banglore,Delhi,0,4823,57.876,180,1,5,16,55,19,55
Jet Airways,Delhi,Cochin,1,12373,148.476,825,18,5,22,50,12,35
Multiple carriers,Delhi,Cochin,1,7215,86.58,560,21,3,11,40,21,0
Air India,Delhi,Cochin,1,7480,89.76,1640,9,5,6,5,9,25
Multiple carriers,Delhi,Cochin,1,8143,97.71600000000001,720,24,6,9,0,21,0
IndiGo,Banglore,Delhi,0,4823,57.876,175,3,5,18,25,21,20
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,735,6,6,20,0,8,15
SpiceJet,Banglore,Delhi,0,5621,67.452,175,12,4,21,10,0,5
Vistara,Kolkata,Banglore,1,9555,114.66,1440,18,5,20,20,20,20
IndiGo,Banglore,New Delhi,0,4777,57.324,165,21,3,1,30,4,15
SpiceJet,Banglore,New Delhi,0,7648,91.776,175,3,3,9,35,12,30
IndiGo,Kolkata,Banglore,1,10308,123.696,295,1,4,9,20,14,15
Jet Airways,Delhi,Cochin,2,21219,254.62800000000001,440,24,5,11,40,19,0
IndiGo,Kolkata,Banglore,1,11319,135.828,295,6,5,9,20,14,15
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1415,15,5,21,10,20,45
Multiple carriers,Delhi,Cochin,1,15078,180.936,435,9,5,18,15,1,30
SpiceJet,Mumbai,Hyderabad,0,2017,24.204,90,1,5,22,45,0,15
Air Asia,Kolkata,Banglore,0,4409,52.908,150,1,6,22,50,1,20
IndiGo,Delhi,Cochin,1,5054,60.648,275,9,6,7,35,12,10
Air India,Banglore,New Delhi,2,10111,121.33200000000001,980,15,3,5,50,22,10
SpiceJet,Banglore,New Delhi,0,4273,51.276,170,18,3,20,30,23,20
Jet Airways,Delhi,Cochin,2,8728,104.736,1735,21,3,13,55,18,50
Air India,Kolkata,Banglore,1,8576,102.912,905,24,5,16,50,7,55
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,180,3,6,17,45,20,45
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,175,9,6,15,15,18,10
Jet Airways,Kolkata,Banglore,1,14151,169.812,1630,18,5,20,25,23,35
IndiGo,Banglore,Delhi,0,4423,53.076,165,15,4,6,5,8,50
Jet Airways,Mumbai,Hyderabad,0,4050,48.6,85,15,6,7,5,8,30
Jet Airways,Kolkata,Banglore,1,14781,177.372,345,6,5,14,5,19,50
Jet Airways,Kolkata,Banglore,1,8586,103.032,735,15,5,20,0,8,15
Air Asia,Kolkata,Banglore,1,5162,61.944,215,21,5,19,55,23,30
Jet Airways,Kolkata,Banglore,1,13731,164.772,450,9,6,21,10,4,40
Jet Airways,Delhi,Cochin,1,7438,89.256,925,21,3,13,0,4,25
Jet Airways,Kolkata,Banglore,1,14151,169.812,1520,15,5,9,35,10,55
Vistara,Banglore,Delhi,0,5613,67.356,170,12,4,21,0,23,50
IndiGo,Kolkata,Banglore,1,5380,64.56,290,15,5,15,15,20,5
Jet Airways,Delhi,Cochin,1,7438,89.256,1015,21,3,11,30,4,25
Multiple carriers,Delhi,Cochin,1,9646,115.752,925,1,6,7,5,22,30
Air Asia,Delhi,Cochin,1,6853,82.236,625,15,5,20,45,7,10
Jet Airways,Banglore,New Delhi,1,13555,162.66,375,18,3,14,5,20,20
IndiGo,Delhi,Cochin,1,5883,70.596,480,15,6,17,30,1,30
IndiGo,Delhi,Cochin,1,6171,74.052,425,9,3,4,55,12,0
IndiGo,Mumbai,Hyderabad,0,3175,38.1,90,21,5,16,55,18,25
IndiGo,Delhi,Cochin,1,4832,57.984,355,27,3,7,45,13,40
Multiple carriers,Delhi,Cochin,1,13377,160.524,570,1,6,16,0,1,30
Jet Airways,Delhi,Cochin,1,10262,123.144,520,24,6,19,45,4,25
Jet Airways,Delhi,Cochin,1,10262,123.144,1100,1,6,18,15,12,35
Air India,Delhi,Cochin,2,8603,103.236,1180,18,5,12,0,7,40
Jet Airways,Kolkata,Banglore,1,8586,103.032,1330,6,6,6,30,4,40
Vistara,Kolkata,Banglore,1,8452,101.424,765,21,5,20,20,9,5
Jet Airways,Kolkata,Banglore,1,14231,170.772,1395,24,3,18,55,18,10
Jet Airways,Delhi,Cochin,1,16289,195.46800000000002,660,21,5,8,0,19,0
SpiceJet,Banglore,New Delhi,0,6860,82.32000000000001,175,3,3,9,35,12,30
IndiGo,Mumbai,Hyderabad,0,2754,33.048,90,9,5,2,35,4,5
Multiple carriers,Delhi,Cochin,1,9646,115.752,925,9,6,7,5,22,30
Air India,Chennai,Kolkata,0,4667,56.004,135,27,5,11,40,13,55
IndiGo,Kolkata,Banglore,0,4804,57.648,155,21,4,15,30,18,5
IndiGo,Banglore,New Delhi,0,4545,54.54,165,9,3,1,30,4,15
Jet Airways,Banglore,New Delhi,1,25735,308.82,1290,1,3,22,50,20,20
Jet Airways,Delhi,Cochin,2,12647,151.764,1375,21,3,5,30,4,25
Jet Airways,Kolkata,Banglore,1,8586,103.032,1090,1,5,14,5,8,15
IndiGo,Chennai,Kolkata,0,5277,63.324,140,9,6,22,5,0,25
IndiGo,Delhi,Cochin,1,6206,74.47200000000001,845,27,3,11,30,1,35
Air Asia,Banglore,Delhi,0,4483,53.796,165,12,4,11,10,13,55
Vistara,Kolkata,Banglore,1,9870,118.44,1550,24,5,17,0,18,50
SpiceJet,Kolkata,Banglore,0,3841,46.092,150,27,6,17,10,19,40
SpiceJet,Kolkata,Banglore,0,3815,45.78,150,27,3,9,0,11,30
IndiGo,Banglore,New Delhi,0,6860,82.32000000000001,170,24,3,23,30,2,20
Jet Airways,Kolkata,Banglore,1,12121,145.452,870,1,5,20,25,10,55
Jet Airways,Delhi,Cochin,1,5963,71.556,535,27,3,9,55,18,50
SpiceJet,Banglore,Delhi,0,3625,43.5,160,6,6,5,55,8,35
SpiceJet,Kolkata,Banglore,0,3841,46.092,145,15,6,9,0,11,25
IndiGo,Banglore,Delhi,0,4823,57.876,170,12,6,20,0,22,50
Multiple carriers,Delhi,Cochin,1,9646,115.752,385,12,6,9,45,16,10
Jet Airways,Delhi,Cochin,1,10152,121.824,620,27,5,2,15,12,35
IndiGo,Delhi,Cochin,1,7514,90.168,940,3,6,6,50,22,30
Jet Airways,Banglore,New Delhi,1,16736,200.832,685,6,3,7,0,18,25
Jet Airways,Kolkata,Banglore,1,13584,163.008,910,6,5,18,55,10,5
Air India,Kolkata,Banglore,2,11222,134.66400000000002,1415,21,5,8,20,7,55
IndiGo,Chennai,Kolkata,0,3850,46.2,140,1,5,7,55,10,15
Vistara,Banglore,New Delhi,0,7608,91.296,160,24,3,12,0,14,40
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1220,12,5,20,0,16,20
Multiple carriers,Delhi,Cochin,1,7408,88.896,510,9,6,17,0,1,30
Vistara,Chennai,Kolkata,0,3687,44.244,135,18,5,7,5,9,20
SpiceJet,Delhi,Cochin,1,11726,140.712,375,3,3,16,35,22,50
Jet Airways,Kolkata,Banglore,1,9663,115.956,1610,6,5,6,30,9,20
Air India,Kolkata,Banglore,2,12829,153.948,1845,24,3,7,0,13,45
IndiGo,Delhi,Cochin,1,6069,72.828,300,27,6,16,0,21,0
Jet Airways,Kolkata,Banglore,1,8529,102.348,1640,12,6,16,30,19,50
Vistara,Kolkata,Banglore,1,8085,97.02,385,9,5,17,0,23,25
Vistara,Banglore,Delhi,0,4878,58.536,165,15,5,19,30,22,15
IndiGo,Banglore,Delhi,0,4077,48.924,170,3,4,13,0,15,50
IndiGo,Kolkata,Banglore,1,7605,91.26,315,9,5,21,0,2,15
Jet Airways,Delhi,Cochin,2,13014,156.168,1375,15,6,5,30,4,25
IndiGo,Delhi,Cochin,1,11600,139.20000000000002,885,3,3,7,35,22,20
Jet Airways,Kolkata,Banglore,1,14151,169.812,1005,12,5,17,0,9,45
Air India,Delhi,Cochin,2,12497,149.964,1105,24,6,13,15,7,40
Jet Airways,Delhi,Cochin,1,17024,204.288,995,6,3,2,15,18,50
SpiceJet,Chennai,Kolkata,0,6300,75.60000000000001,155,9,3,9,30,12,5
Multiple carriers,Delhi,Cochin,1,15147,181.764,470,6,3,17,45,1,35
Multiple carriers,Delhi,Cochin,1,6795,81.54,760,1,6,12,50,1,30
IndiGo,Mumbai,Hyderabad,0,5755,69.06,85,3,3,19,5,20,30
Air India,Kolkata,Banglore,1,10203,122.436,1185,12,5,20,30,16,15
Jet Airways,Delhi,Cochin,1,14714,176.568,1015,6,6,11,30,4,25
IndiGo,Banglore,New Delhi,0,4545,54.54,170,18,3,22,20,1,10
Jet Airways,Kolkata,Banglore,1,14781,177.372,855,15,5,6,30,20,45
Air India,Banglore,New Delhi,2,11602,139.224,1655,12,3,7,30,11,5
IndiGo,Mumbai,Hyderabad,0,4049,48.588,90,6,5,6,25,7,55
Jet Airways,Delhi,Cochin,2,13029,156.348,1375,9,5,5,30,4,25
Jet Airways,Kolkata,Banglore,1,14571,174.852,740,9,6,8,25,20,45
Air India,Banglore,Delhi,0,6961,83.532,165,9,6,6,10,8,55
SpiceJet,Kolkata,Banglore,1,6381,76.572,520,15,5,8,35,17,15
SpiceJet,Kolkata,Banglore,0,3841,46.092,155,1,4,6,55,9,30
Jet Airways,Delhi,Cochin,2,11538,138.456,1325,21,3,6,20,4,25
Vistara,Kolkata,Banglore,1,8610,103.32000000000001,1440,6,5,20,20,20,20
Air India,Delhi,Cochin,2,11552,138.624,2170,6,3,7,5,19,15
Multiple carriers,Delhi,Cochin,1,7408,88.896,840,1,6,7,0,21,0
Jet Airways,Delhi,Cochin,1,10262,123.144,1010,27,6,19,45,12,35
Air India,Kolkata,Banglore,2,10991,131.892,1625,6,5,5,50,8,55
Multiple carriers,Delhi,Cochin,1,13587,163.044,435,9,6,18,15,1,30
Air India,Delhi,Cochin,1,7480,89.76,1255,15,5,12,30,9,25
IndiGo,Banglore,New Delhi,1,6351,76.212,300,9,3,17,55,22,55
Multiple carriers,Delhi,Cochin,1,7153,85.836,420,27,5,14,0,21,0
Air Asia,Kolkata,Banglore,0,4409,52.908,150,6,5,19,55,22,25
IndiGo,Kolkata,Banglore,1,7228,86.736,315,15,5,21,0,2,15
Multiple carriers,Delhi,Cochin,1,11667,140.004,650,27,3,8,0,18,50
SpiceJet,Kolkata,Banglore,1,4649,55.788000000000004,315,12,6,15,5,20,20
Air India,Kolkata,Banglore,2,12592,151.104,1255,9,5,16,50,13,45
Multiple carriers,Delhi,Cochin,1,11789,141.468,520,12,6,10,20,19,0
Air India,Chennai,Kolkata,0,4667,56.004,135,1,6,11,40,13,55
Air Asia,Kolkata,Banglore,1,9719,116.628,720,21,5,22,40,10,40
Air India,Delhi,Cochin,1,6902,82.824,375,27,3,13,0,19,15
Jet Airways,Kolkata,Banglore,1,14781,177.372,520,21,5,20,0,4,40
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,850,18,5,8,25,22,35
Air India,Kolkata,Banglore,2,11522,138.264,1975,24,3,5,40,14,35
Air India,Banglore,Delhi,0,6121,73.452,170,21,4,13,20,16,10
Vistara,Kolkata,Banglore,1,8610,103.32000000000001,385,6,6,17,0,23,25
Air Asia,Kolkata,Banglore,0,5620,67.44,150,24,3,22,50,1,20
IndiGo,Kolkata,Banglore,0,4804,57.648,150,27,5,15,15,17,45
Multiple carriers,Delhi,Cochin,1,7005,84.06,640,27,5,10,20,21,0
Jet Airways,Delhi,Cochin,2,15129,181.548,1195,1,5,23,5,19,0
Jet Airways,Kolkata,Banglore,1,8586,103.032,520,24,5,20,0,4,40
Multiple carriers,Delhi,Cochin,1,10197,122.364,660,18,5,8,0,19,0
Multiple carriers,Delhi,Cochin,1,10667,128.004,605,27,3,9,10,19,15
IndiGo,Kolkata,Banglore,1,11160,133.92000000000002,295,12,6,9,20,14,15
Air India,Delhi,Cochin,2,12488,149.856,1855,27,5,12,20,19,15
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,685,18,5,8,25,19,50
Air India,Delhi,Cochin,2,9968,119.616,1595,3,6,16,40,19,15
Jet Airways,Banglore,Delhi,0,5198,62.376000000000005,185,18,5,18,55,22,0
Jet Airways,Kolkata,Banglore,1,8586,103.032,875,1,5,14,5,4,40
IndiGo,Chennai,Kolkata,0,4332,51.984,145,18,5,11,35,14,0
IndiGo,Kolkata,Banglore,1,5069,60.828,290,6,5,8,10,13,0
Jet Airways,Banglore,Delhi,0,4544,54.528,180,6,5,8,20,11,20
Multiple carriers,Delhi,Cochin,1,14973,179.67600000000002,690,3,3,4,0,15,30
Air India,Banglore,New Delhi,3,13387,160.644,2120,12,3,6,45,18,5
SpiceJet,Banglore,Delhi,0,3625,43.5,160,9,6,5,55,8,35
Jet Airways,Kolkata,Banglore,1,10703,128.436,1730,24,5,9,35,14,25
IndiGo,Kolkata,Banglore,0,7615,91.38,155,24,3,15,10,17,45
IndiGo,Banglore,Delhi,0,4823,57.876,175,27,5,18,25,21,20
Jet Airways,Banglore,New Delhi,1,16736,200.832,1045,6,3,11,40,5,5
Jet Airways,Kolkata,Banglore,1,9663,115.956,890,9,5,21,10,12,0
Multiple carriers,Delhi,Cochin,1,9205,110.46000000000001,630,18,5,8,30,19,0
Jet Airways,Delhi,Cochin,1,15554,186.648,335,9,5,22,50,4,25
SpiceJet,Mumbai,Hyderabad,0,1965,23.580000000000002,90,15,5,22,45,0,15
Air India,Kolkata,Banglore,0,5510,66.12,150,15,6,14,15,16,45
Multiple carriers,Delhi,Cochin,1,8266,99.19200000000001,535,9,5,10,20,19,15
IndiGo,Mumbai,Hyderabad,0,3175,38.1,90,27,5,16,55,18,25
SpiceJet,Delhi,Cochin,1,4760,57.120000000000005,270,9,5,8,45,13,15
Multiple carriers,Delhi,Cochin,1,7740,92.88,735,27,5,8,45,21,0
Jet Airways,Kolkata,Banglore,1,13941,167.292,570,15,5,14,5,23,35
Air Asia,Delhi,Cochin,1,11410,136.92000000000002,865,6,6,16,45,7,10
Jet Airways,Kolkata,Banglore,1,12681,152.172,1640,1,4,16,30,19,50
Jet Airways,Delhi,Cochin,2,15129,181.548,1615,6,5,9,40,12,35
Jet Airways,Delhi,Cochin,2,10368,124.416,810,12,6,5,30,19,0
Air India,Kolkata,Banglore,2,12324,147.888,725,21,5,8,20,20,25
SpiceJet,Kolkata,Banglore,0,3841,46.092,150,15,4,17,10,19,40
Jet Airways,Delhi,Cochin,2,13014,156.168,1375,24,6,5,30,4,25
IndiGo,Delhi,Cochin,1,6442,77.304,940,27,6,6,50,22,30
Jet Airways,Delhi,Cochin,1,12373,148.476,300,18,5,14,0,19,0
Jet Airways,Banglore,New Delhi,1,13817,165.804,845,12,3,8,55,23,0
IndiGo,Banglore,Delhi,0,4823,57.876,175,24,6,18,55,21,50
Jet Airways,Delhi,Cochin,2,9412,112.944,1395,27,3,5,10,4,25
Air India,Delhi,Cochin,2,10231,122.772,1275,27,5,22,0,19,15
Jet Airways,Banglore,Delhi,0,7229,86.748,175,9,4,15,50,18,45
SpiceJet,Banglore,New Delhi,0,4273,51.276,175,24,3,9,35,12,30
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1550,18,5,18,55,20,45
IndiGo,Delhi,Cochin,1,7164,85.968,325,27,5,2,0,7,25
Jet Airways,Banglore,Delhi,0,6478,77.736,180,27,6,7,10,10,10
Jet Airways,Banglore,Delhi,0,5198,62.376000000000005,180,12,5,7,10,10,10
SpiceJet,Banglore,Delhi,0,4319,51.828,160,27,4,5,55,8,35
Jet Airways,Delhi,Cochin,1,10262,123.144,1040,27,6,19,15,12,35
Vistara,Delhi,Cochin,0,6741,80.892,190,18,5,14,40,17,50
Jet Airways,Kolkata,Banglore,1,14571,174.852,510,6,6,14,5,22,35
Air India,Banglore,New Delhi,1,26092,313.104,725,1,3,11,50,23,55
Air India,Delhi,Cochin,2,11753,141.036,500,27,6,10,55,19,15
Jet Airways,Banglore,New Delhi,1,7832,93.98400000000001,900,21,3,8,0,23,0
Vistara,Kolkata,Banglore,1,8610,103.32000000000001,790,1,5,7,10,20,20
Jet Airways,Kolkata,Banglore,1,13626,163.512,510,12,6,14,5,22,35
Jet Airways,Delhi,Cochin,2,10368,124.416,1615,9,6,9,40,12,35
IndiGo,Mumbai,Hyderabad,0,2754,33.048,90,18,6,2,35,4,5
Jet Airways,Kolkata,Banglore,1,12692,152.304,1500,6,6,17,0,18,0
IndiGo,Banglore,New Delhi,0,10067,120.804,175,1,3,10,5,13,0
GoAir,Delhi,Cochin,1,4959,59.508,540,3,6,10,35,19,35
Air India,Banglore,New Delhi,2,19372,232.464,1580,1,3,8,50,11,10
Air India,Mumbai,Hyderabad,0,3100,37.2,80,18,5,6,20,7,40
Multiple carriers,Delhi,Cochin,1,8405,100.86,810,15,5,7,30,21,0
Multiple carriers,Delhi,Cochin,1,6943,83.316,570,27,5,11,30,21,0
SpiceJet,Kolkata,Banglore,0,3841,46.092,150,27,4,17,10,19,40
SpiceJet,Mumbai,Hyderabad,0,2017,24.204,90,6,6,22,45,0,15
Vistara,Kolkata,Banglore,1,9187,110.244,1065,1,5,17,0,10,45
Jet Airways,Kolkata,Banglore,1,13941,167.292,685,12,5,8,25,19,50
Jet Airways,Delhi,Cochin,2,8938,107.256,1415,21,3,19,15,18,50
SpiceJet,Banglore,Delhi,0,4319,51.828,170,18,5,9,30,12,20
SpiceJet,Banglore,Delhi,0,3573,42.876,175,1,4,21,10,0,5
SpiceJet,Kolkata,Banglore,0,3841,46.092,145,3,5,9,0,11,25
Jet Airways,Delhi,Cochin,0,7202,86.424,195,27,6,11,0,14,15
Vistara,Kolkata,Banglore,1,9187,110.244,355,9,6,17,0,22,55
GoAir,Delhi,Cochin,1,6976,83.712,370,3,6,7,25,13,35
Jet Airways,Delhi,Cochin,1,12898,154.776,1100,21,5,18,15,12,35
Jet Airways,Delhi,Cochin,1,12898,154.776,1570,27,5,2,15,4,25
Jet Airways,Delhi,Cochin,2,10588,127.056,1295,15,6,21,25,19,0
Air India,Delhi,Cochin,2,9181,110.172,1275,24,6,22,0,19,15
Jet Airways,Banglore,New Delhi,1,11087,133.044,1400,3,3,5,45,5,5
Jet Airways,Delhi,Cochin,1,10262,123.144,330,27,6,7,5,12,35
Jet Airways,Delhi,Cochin,0,4886,58.632,195,6,4,11,0,14,15
IndiGo,Delhi,Cochin,1,8470,101.64,355,21,3,2,35,8,30
Air India,Kolkata,Banglore,3,14960,179.52,805,21,5,9,50,23,15
SpiceJet,Kolkata,Banglore,0,3873,46.476,155,9,5,6,55,9,30
Air India,Delhi,Cochin,2,11911,142.93200000000002,1595,9,3,16,40,19,15
Air India,Delhi,Cochin,1,8907,106.884,795,15,6,9,45,23,0
SpiceJet,Chennai,Kolkata,0,3859,46.308,135,9,5,8,20,10,35
Air Asia,Kolkata,Banglore,0,3807,45.684,150,24,6,22,50,1,20
Air Asia,Kolkata,Banglore,0,4384,52.608000000000004,155,6,3,10,20,12,55
Multiple carriers,Delhi,Cochin,1,11622,139.464,460,3,6,4,55,12,35
Vistara,Banglore,New Delhi,0,4563,54.756,160,24,3,19,40,22,20
SpiceJet,Mumbai,Hyderabad,0,1965,23.580000000000002,90,1,4,13,15,14,45
Air India,Kolkata,Banglore,0,4145,49.74,155,24,4,20,45,23,20
Jet Airways,Kolkata,Banglore,1,10031,120.372,1410,24,3,21,10,20,40
Air India,Banglore,New Delhi,1,11628,139.536,370,1,3,17,0,23,10
Jet Airways,Delhi,Cochin,1,10262,123.144,330,15,6,7,5,12,35
SpiceJet,Mumbai,Hyderabad,0,2017,24.204,90,24,6,13,15,14,45
Vistara,Delhi,Cochin,0,6216,74.592,190,27,4,6,0,9,10
Multiple carriers,Delhi,Cochin,3,16294,195.528,835,15,5,11,35,1,30
IndiGo,Banglore,Delhi,0,3943,47.316,170,3,6,4,0,6,50
Multiple carriers,Delhi,Cochin,1,7038,84.456,455,27,5,14,55,22,30
SpiceJet,Banglore,New Delhi,1,7294,87.528,475,9,3,10,20,18,15
SpiceJet,Kolkata,Banglore,0,3873,46.476,145,6,4,9,0,11,25
Air India,Mumbai,Hyderabad,0,3100,37.2,90,18,6,13,55,15,25
Multiple carriers,Delhi,Cochin,1,12507,150.084,540,27,5,10,0,19,0
Air Asia,Delhi,Cochin,1,6152,73.824,875,21,5,7,55,22,30
Air India,Kolkata,Banglore,1,8030,96.36,675,1,4,9,50,21,5
Jet Airways,Banglore,Delhi,0,5769,69.228,180,18,6,8,20,11,20
IndiGo,Kolkata,Banglore,0,4804,57.648,155,6,6,17,15,19,50
Air India,Delhi,Cochin,1,8372,100.464,1420,18,5,9,45,9,25
Jet Airways,Banglore,New Delhi,1,8578,102.936,280,15,3,9,45,14,25
Air India,Delhi,Cochin,2,11228,134.736,1275,18,5,22,0,19,15
Air India,Kolkata,Banglore,2,13227,158.724,1385,1,5,9,50,8,55
IndiGo,Banglore,New Delhi,0,8855,106.26,175,15,3,20,0,22,55
Multiple carriers,Delhi,Cochin,1,12192,146.304,525,12,6,3,50,12,35
Jet Airways,Delhi,Cochin,2,12819,153.828,1195,27,6,23,5,19,0
